JUGADOR;POS;PJ;PI;MIN;PTS;RB;TP;AS;TC;T3;TL;BR;BP;FP;EF;OR;DR;v;Derrota;PF;PC;Equipo;Edad;Altura;FGM;FGA;FTM;FTA;;;;;;;;;;;;;
T. Ariza;AL/AP;67;67;33,9;11,7;4,4;0,2;1,6;0,41;0,37;0,85;1,5;0,8;2;12,6;0,5;3,9;65;17;112,4;103,9;HOU;33;203,2;4;9,7;1,1;1,3;;;;;;;;;;;;;
R. Anderson;AP;66;50;26,2;9,3;5;0,3;0,9;0,43;0,39;0,77;0,4;0,6;1,9;10,9;1,4;3,6;65;17;112,4;103,9;HOU;30;208,28;3,1;7,3;1,1;1,4;;;;;;;;;;;;;
A. Jackson;B;1;0;35;8;3;0;1;0,33;0,25;0,50;0;1;4;4;2;1;65;17;112,4;103,9;HOU;32;190,5;3;9;1;2;;;;;;;;;;;;;
L. Mbah a Moute;AL/AP;61;15;25,6;7,5;3;0,4;0,9;0,48;0,36;0,68;1,2;1,1;1,6;8,5;0,4;2,7;65;17;112,4;103,9;HOU;31;203,2;2,7;5,7;1,1;1,6;;;;;;;;;;;;;
Nene;P;52;4;14,6;6,5;3,4;0,3;0,9;0,57;0,00;0,64;0,5;0,7;2,4;8,1;1;2,3;65;17;112,4;103,9;HOU;35;210,82;2,6;4,6;1,3;2,1;;;;;;;;;;;;;
P. Tucker;AP;82;34;27,8;6,1;5,6;0,3;0,9;0,39;0,37;0,72;1;0,9;2,5;9,5;1,1;4,4;65;17;112,4;103,9;HOU;33;198,12;2,1;5,4;0,5;0,7;;;;;;;;;;;;;
J. Johnson;AL/AP;23;1;22;6;2,8;0;1,7;0,38;0,28;0,95;0,3;0,8;1,5;6,4;0,1;2,7;65;17;112,4;103,9;HOU;37;200,66;2,2;5,8;0,9;0,9;;;;;;;;;;;;;
C. Onuaku;AP;1;0;22;4;4;0;1;0,40;0,00;0,00;0;3;4;3;1;1;65;17;112,4;103,9;HOU;21;208,28;2;5;0;0;;;;;;;;;;;;;
B. Wright;P/AP;1;0;15;4;2;1;0;0,67;0,00;0,00;0;0;3;6;1;3;65;17;112,4;103,9;HOU;30;208,28;2;3;0;0;;;;;;;;;;;;;
R. Hunter;ES;5;1;9;3,8;1;0;0,6;0,35;0,21;1,00;0,6;0,4;1,4;3;0;1;65;17;112,4;103,9;HOU;24;195,58;1,4;4;0,4;0,4;;;;;;;;;;;;;
T. Black;P;51;2;10,5;3,5;3,2;0,6;0,3;0,59;0,09;0,46;0,4;0,7;2,1;5,6;1,2;2;65;17;112,4;103,9;HOU;26;205,74;1,5;2,5;0,6;1,2;;;;;;;;;;;;;
B. Brown;B/ES;20;0;5,8;2,5;0,4;0;0,6;0,33;0,28;0,50;0,2;0,5;0,3;1,2;0;0,4;65;17;112,4;103,9;HOU;33;187,96;1;2,9;0,1;0,1;;;;;;;;;;;;;
B. Weber;B;13;0;9,1;2;1,4;0,2;1;0,41;0,44;1,00;0,8;0,5;1,4;3,8;0,2;1,2;65;17;112,4;103,9;HOU;30;208,28;0,7;1,7;0,3;0,3;;;;;;;;;;;;;
M. Brown;B/ES;4;0;7,8;1,3;1,3;0;0,5;0,29;0,20;0,00;0;0,5;1,5;1,3;0;1;65;17;112,4;103,9;HOU;26;190,5;0,5;1,8;0;0;;;;;;;;;;;;;
T. Williams;AL;4;0;4,3;1,3;1;0;0,3;0,22;0,00;0,33;0,3;0,3;0,5;0,3;0,3;1;65;17;112,4;103,9;HOU;23;200,66;0,5;2,3;0,3;0,8;;;;;;;;;;;;;
T. Quarterman;B/ES;3;0;4,3;1,3;1;0;0,3;0,33;0,00;1,00;0;0,7;0,3;1,3;0,3;0,8;65;17;112,4;103,9;HOU;23;198,12;0,3;1;0,7;0,7;;;;;;;;;;;;;
Z. Qi;P;18;0;6,9;1,2;1,2;0,8;0,1;0,19;0,11;0,67;0,1;0,6;0,8;1,2;0,3;0,9;65;17;112,4;103,9;HOU;22;215,9;0,3;1,8;0,4;0,7;;;;;;;;;;;;;
D. Jackson;B;12;0;5,3;0,7;0,9;0,1;0,4;0,29;0,00;0,00;0,3;0,8;0,5;0,8;0,3;0,6;65;17;112,4;103,9;HOU;24;185;0,3;1,2;0;0;;;;;;;;;;;;;
I. Canaan;B;1;0;4;0;1;0;0;0,00;0,00;0,00;0;0;0;0;0;1;65;17;112,4;103,9;HOU;27;182,88;0;1;0;0;;;;;;;;;;;;;
V. Oladipo;B/ES;75;75;34;23,1;5,2;0,8;4,3;0,48;0,37;0,80;2,4;2,9;2,3;22,5;0,6;4,6;48;34;105,6;104,2;IND;26;193,04;8,5;17,9;3,9;4,9;;;;;;;;;;;;;
B. Bogdanovic;AL/AP;80;80;30,8;14,3;3,4;0,1;1,5;0,47;0,40;0,87;0,7;1,3;1,6;12,7;0,4;3;48;34;105,6;104,2;IND;29;203,2;5,1;10,7;2,2;2,6;;;;;;;;;;;;;
M. Turner;P;65;62;28,2;12,7;6,4;1,8;1,3;0,48;0,36;0,78;0,6;1,5;2,9;15,6;1,4;5;48;34;105,6;104,2;IND;22;210,82;4,7;9,8;2,5;3,2;;;;;;;;;;;;;
D. Collison;B;69;64;29,2;12,4;2,6;0,2;5,3;0,50;0,47;0,88;1,3;1,2;1,8;15,7;0,5;2;48;34;105,6;104,2;IND;30;187,96;4,6;9,2;1,8;2,1;;;;;;;;;;;;;
T. Young;P/AP;81;81;32,2;11,8;6,3;0,4;1,9;0,49;0,32;0,60;1,7;1,3;2,2;14,9;2,3;4;48;34;105,6;104,2;IND;26;187,96;5,2;10,7;0,7;1,1;;;;;;;;;;;;;
D. Sabonis;P;74;19;24,5;11,6;7,7;0,4;2;0,51;0,35;0,75;0,5;1,9;3;15,4;2,2;5,5;48;34;105,6;104,2;IND;26;187,96;4,6;8,9;2,3;3;;;;;;;;;;;;;
L. Stephenson;ES/AL;82;7;22,6;9,2;5,2;0,2;2,9;0,43;0,29;0,66;0,6;1,6;2,2;11;0,8;4,4;48;34;105,6;104,2;IND;27;198,12;3,7;8,6;1;1,5;;;;;;;;;;;;;
C. Joseph;B;82;17;27;7,9;3,2;0,2;3,2;0,43;0,35;0,75;1;1,1;1,7;9,9;0,5;2,7;48;34;105,6;104,2;IND;26;190,5;3,1;7,4;0,9;1,1;;;;;;;;;;;;;
A. Jefferson;P;36;1;13,4;7;4;0,6;0,8;0,53;0,00;0,83;0,4;0,6;1,8;9,4;0,8;3,1;48;34;105,6;104,2;IND;33;208;3,1;5,8;0,8;1;;;;;;;;;;;;;
T. Booker;P/AP;17;1;15,8;5,4;4,5;0,3;1;0,46;0,21;0,91;0,2;0,5;1,5;8,2;1,9;2,6;48;34;105,6;104,2;IND;30;203,2;2,3;4,9;0,6;0,6;;;;;;;;;;;;;
G. Robinson III;AL/AP;23;1;14,7;4,1;1,6;0;0,7;0,42;0,41;0,82;0,6;0,2;0,6;4,7;0,5;1,1;48;34;105,6;104,2;IND;24;200,66;1,6;3,7;0,4;0,5;;;;;;;;;;;;;
J. Young;B;53;1;10,5;3,9;1,2;0;0,7;0,43;0,38;0,76;0,3;0,5;0,7;3,5;0,2;1;48;34;105,6;104,2;IND;26;187,96;1,5;3,5;0,4;0,5;;;;;;;;;;;;;
T. Leaf;P/AP;53;0;8,7;2,9;1,5;0,1;0,2;0,47;0,43;0,63;0,1;0,2;0,8;3,2;0,5;1;48;34;105,6;104,2;IND;21;208,28;1,2;2,6;0,2;0,3;;;;;;;;;;;;;
E. Sumner;B/ES;1;0;2;2;1;0;0;1,00;0,00;0,00;0;0;1;3;0;1;48;34;105,6;104,2;IND;22;195,58;1;1;0;0;;;;;;;;;;;;;
D. Wilkins;ES/AL;19;1;8;1,7;0,8;0,1;0,5;0,33;0,22;0,75;0,1;0,3;0,4;1,5;0,3;0,6;48;34;105,6;104,2;IND;38;198,12;0,7;2,1;0,2;0,2;;;;;;;;;;;;;
I. Anigbogu;P;11;0;2,7;1,2;0,8;0,3;0;0,44;0,00;0,83;0,1;0,2;0,1;1,6;0,5;0,4;48;34;105,6;104,2;IND;19;208,28;0,4;0,8;0,5;0,5;;;;;;;;;;;;;
A. Poythress;P/AP;25;0;4,2;1;0,7;0;0,1;0,42;0,36;0,00;0,1;0,1;0,6;1,3;0,3;0,4;48;34;105,6;104,2;IND;24;205,74;0,4;1;0;0;;;;;;;;;;;;;
T. McKinney;ES;1;0;1;0;0;0;0;0,00;0,00;0,00;0;0;0;0;0;0;48;34;105,6;104,2;IND;27;195,58;0;0;0;0;;;;;;;;;;;;;
B. Moore;AL/AP;2;0;4,5;0;0,5;0;0,5;0,00;0,00;0,00;0;0;2;1;0;0,5;48;34;105,6;104,2;IND;23;203,2;0;0;0;0;;;;;;;;;;;;;
L. Williams;B/ES;79;19;32,8;22,6;2,5;0,2;5,3;0,44;0,36;0,88;1,1;3;1,3;18,4;0,5;2;42;40;109;109;LAC;31;185,42;7,4;16,9;5,5;6,2;;;;;;;;;;;;;
B. Griffin;P/AP;33;33;34,5;22,6;7,9;0,3;5,4;0,44;0,34;0,79;0,9;3;2,4;22,9;1,4;6,5;42;40;109;109;LAC;22;200,66;7,7;17,5;5,2;6,6;;;;;;;;;;;;;
T. Harris;AL/AP;32;32;34,5;19,3;6;0,6;3,1;0,47;0,41;0,80;1,2;1,7;2,3;19,6;0,7;5,3;42;40;109;109;LAC;25;205,74;7,6;16;2;2,5;;;;;;;;;;;;;
D. Gallinari;AL/AP;21;21;32;15,3;4,8;0,5;2;0,40;0,32;0,93;0,6;1,2;1,4;14,3;0,4;4,4;42;40;109;109;LAC;29;208,28;4,9;12,2;3,9;4,1;;;;;;;;;;;;;
A. Rivers;B/ES;61;59;33,7;15,1;2,4;0,3;4;0,42;0,38;0,64;1,2;1,8;2,5;12,6;0,4;1,9;42;40;109;109;LAC;25;193,04;5,6;13,2;1,7;2,6;;;;;;;;;;;;;
P. Beverley;B/ES;11;11;30,4;12,2;4,1;0,5;2,9;0,40;0,40;0,82;1,7;2,3;3,1;12,4;1,5;2,6;42;40;109;109;LAC;29;185,42;4,4;10,8;1,3;1,5;;;;;;;;;;;;;
D. Jordan;P;77;77;31,5;12;15,2;0,9;1,5;0,65;0,00;0,58;0,5;1,8;2,6;24;4,3;10,9;42;40;109;109;LAC;29;210,82;4,8;7,5;2,4;4,1;;;;;;;;;;;;;
M. Harrell;P;76;3;17;11;4;0,7;1;0,64;0,14;0,63;0,5;0,9;1,9;12,5;1,4;2,7;42;40;109;109;LAC;24;203,2;4,6;7,2;1,8;2,9;;;;;;;;;;;;;
T. Wallace;B/ES;30;19;28,3;9,7;3,5;0,4;2,4;0,45;0,25;0,78;0,9;1,5;2,8;10,2;0,7;2,8;42;40;109;109;LAC;24;195,58;3,7;8,2;2;2,6;;;;;;;;;;;;;
M. Teodosic;B/ES;45;36;25,2;9,5;2,8;0,1;4,6;0,42;0,38;0,85;0,5;2,2;2,3;10,6;0,4;2,4;42;40;109;109;LAC;31;195,58;3,4;8;0,9;1;;;;;;;;;;;;;
A. Bradley;ES/AL;6;6;27,5;9,2;3,7;0,2;1,8;0,47;0,11;1,00;0,8;1,3;2;9,5;0,5;3,2;42;40;109;109;LAC;27;187,96;4,3;9,2;0,3;0,3;;;;;;;;;;;;;
J. Wilson;AL/AP;15;10;18,3;7;2,1;0,5;0,7;0,47;0,43;0,50;0,3;0,5;2,3;7,1;0,2;1,9;42;40;109;109;LAC;27;200,66;2,5;5,4;0,1;0,3;;;;;;;;;;;;;
B. Marjanovic;P;19;0;8,7;6,2;4,6;0,3;0,4;0,55;0,00;0,79;0,3;0,7;1,2;8,8;1,7;2,7;42;40;109;109;LAC;29;220,98;1,9;3,5;2,1;2,6;;;;;;;;;;;;;
C. Williams;ES;38;18;18,6;5,5;1,5;0,3;1,1;0,44;0,28;0,81;0,8;0,5;1,7;5,8;0,3;1,2;42;40;109;109;LAC;28;195,58;2,3;5,2;0,3;0,4;;;;;;;;;;;;;
W. Johnson;AL;74;40;20,1;5,4;2,9;0,8;0,8;0,41;0,34;0,74;1;0,7;2;7,2;0,4;2,5;42;40;109;109;LAC;30;200,66;2;5;0,6;0,8;;;;;;;;;;;;;
W. Reed;P/AP;39;5;10,7;4,9;3,1;0,6;0,2;0,67;0,50;0,58;0,2;0,5;1,4;6,9;0,9;2,2;42;40;109;109;LAC;28;210,82;2,1;3,1;0,8;1,4;;;;;;;;;;;;;
J. Evans;B;48;4;16,2;4,8;1,8;0,1;2,1;0,35;0,28;0,78;0,8;0,9;2;5;0,2;1,6;42;40;109;109;LAC;21;182,88;1,9;5,3;0,8;1;;;;;;;;;;;;;
S. Kilpatrick;ES/AL;4;0;9,5;4,8;0,5;0;0,8;0,39;0,43;1,00;0;0,3;0,5;3;0;0,5;42;40;109;109;LAC;28;193,04;1,8;4,5;0,5;0,5;;;;;;;;;;;;;
S. Dekker;AP;73;1;12,1;4,2;2,4;0,1;0,5;0,49;0,17;0,66;0,3;0,5;1;5;0,6;1,8;42;40;109;109;LAC;24;205,74;1,8;3,5;0,5;0,8;;;;;;;;;;;;;
S. Thornwell;B/ES;73;16;15,8;3,9;1,9;0,3;0,9;0,43;0,38;0,67;0,7;0,7;1,7;4,8;0,5;1,5;42;40;109;109;LAC;23;195,58;1,4;3,2;0,8;1,2;;;;;;;;;;;;;
B. Johnson;AP;9;0;4,2;1,8;1,4;0,2;0,1;0,64;0,00;1,00;0,7;0,4;0,8;3,3;0,2;1,2;42;40;109;109;LAC;24;208,28;0,8;1,2;0,2;0,2;;;;;;;;;;;;;
J. Randle;P/AP;82;49;26,7;16,1;8;0,5;2,6;0,56;0,22;0,72;0,5;2,6;3,3;18,8;2,2;5,8;35;47;108,1;109,6;LAL;23;205,74;6,1;11;3,7;5,2;;;;;;;;;;;;;
K. Kuzma;AP;77;37;31,2;16,1;6,3;0,4;1,8;0,45;0,37;0,71;0,6;1,8;2,1;15,3;1,1;5,1;35;47;108,1;109,6;LAL;22;205,74;6,1;13,5;1,9;2,7;;;;;;;;;;;;;
B. Ingram;ES/AL;59;59;33,5;16,1;5,3;0,7;3,9;0,47;0,39;0,68;0,8;2,5;2,8;15,9;1;4,4;35;47;108,1;109,6;LAL;32;190,5;6,1;12,9;3,3;4,8;;;;;;;;;;;;;
I. Thomas;B;17;1;26,8;15,6;2,1;0,1;5;0,38;0,33;0,92;0,4;3,2;1,9;11,4;0,6;1,5;35;47;108,1;109,6;LAL;29;175,26;5,1;13,4;3,4;3,7;;;;;;;;;;;;;
J. Clarkson;B/ES;53;2;23,7;14,5;3;0,1;3,3;0,45;0,32;0,80;0,7;1,8;1,2;12,4;0,8;2,2;35;47;108,1;109,6;LAL;26;195,58;5,6;12,6;2;2,5;;;;;;;;;;;;;
K. Caldwell;ES;74;74;33,2;13,4;5,2;0,2;2,2;0,43;0,38;0,79;1,4;1,3;2;14,4;0,8;4,4;35;47;108,1;109,6;LAL;25;195,58;4,6;10,8;2,1;2,6;;;;;;;;;;;;;
B. Lopez;P;74;72;23,4;13;4;1,3;1,7;0,47;0,35;0,70;0,4;1,3;2,7;12,7;1;3;35;47;108,1;109,6;LAL;30;213,36;5;10,7;1,5;2,1;;;;;;;;;;;;;
A. Ingram;ES/AL;2;0;32;12;3;1,5;3,5;0,47;0,56;1,00;1,5;1,5;1,5;15,5;0,5;2,5;35;47;108,1;109,6;LAL;20;205,74;4;8,5;1,5;1,5;;;;;;;;;;;;;
L. Ball;B;52;50;34,2;10,2;6,9;0,8;7,2;0,36;0,31;0,45;1,7;2,6;2,3;16,5;1,3;5,6;35;47;108,1;109,6;LAL;20;198,12;3,9;10,8;0,6;1,4;;;;;;;;;;;;;
L. Nance, Jr.;P/AP;42;17;22;8,6;6,8;0,5;1,4;0,60;0,25;0,63;1,4;1;2,7;14,4;2,6;4,2;35;47;108,1;109,6;LAL;25;205,74;3,6;6;1,3;2,1;;;;;;;;;;;;;
J. Hart;AL/AP;63;23;23,2;7,9;4,2;0,3;1,3;0,47;0,40;0,70;0,7;0,7;1,7;10;0,7;3,5;35;47;108,1;109,6;LAL;23;195,58;2,8;6;1;1,5;;;;;;;;;;;;;
C. Frye;P;9;0;16,7;5,8;2,8;0,1;1,1;0,47;0,36;0,75;0,1;0,4;1,7;6,8;0,2;2,6;35;47;108,1;109,6;LAL;35;210,82;2,2;4,8;0,3;0,4;;;;;;;;;;;;;
T. Wear;AL/AP;17;0;13,4;4,4;2,2;0,3;0,4;0,35;0,36;1,00;0,2;0,4;1,8;4,5;0;2,2;35;47;108,1;109,6;LAL;27;208,28;1,5;4,2;0,5;0,5;;;;;;;;;;;;;
T. Ennis;B;54;11;12,6;4,1;1,8;0,2;1,9;0,42;0,25;0,76;0,6;0,7;1,4;5,4;0,4;1,4;35;47;108,1;109,6;LAL;23;190,5;1,7;4,1;0,4;0,5;;;;;;;;;;;;;
C. Brewer;AL/AP;54;2;12,9;3,7;1,7;0,1;0,8;0,45;0,19;0,67;0,8;0,7;1,5;4,3;0,4;1,3;35;47;108,1;109,6;LAL;32;205,74;1,4;3,2;0,6;0,9;;;;;;;;;;;;;
I. Zubac;P;43;0;9,5;3,7;2,9;0,3;0,6;0,50;0,00;0,77;0,2;0,6;1,1;5,4;1;1,8;35;47;108,1;109,6;LAL;21;215,9;1,4;2,8;0,9;1,2;;;;;;;;;;;;;
A. Caruso;B/ES;37;7;15,2;3,6;1,8;0,3;2;0,43;0,30;0,70;0,6;1,1;1,4;5,1;0,4;1,4;35;47;108,1;109,6;LAL;24;195,58;1,4;3,1;0,6;0,8;;;;;;;;;;;;;
G. Payton II;ES/AL;11;0;10,5;3,5;2,5;0,2;1,1;0,42;0,31;0,17;0,4;0,4;1,2;4,6;0,8;1,6;35;47;108,1;109,6;LAL;25;190,5;1,5;3,7;0,1;0,5;;;;;;;;;;;;;
L. Deng;AL/AP;1;1;13;2;0;0;1;0,50;0,00;0,00;1;1;0;2;0;0;35;47;108,1;109,6;LAL;33;206;1;2;0;0;;;;;;;;;;;;;
A. Bogut;P;23;5;9,4;1,6;3,4;0,6;0,7;0,68;0,00;1,00;0,2;0,8;1,7;5,2;1,1;2,2;35;47;108,1;109,6;LAL;33;213,36;0,7;1;0,1;0,1;;;;;;;;;;;;;
T. Bryant;P;15;0;4,8;1,5;1,1;0,1;0,4;0,38;0,10;0,56;0,1;0,1;0,4;1,9;0,2;0,9;35;47;108,1;109,6;LAL;21;208;0,5;1,4;0,3;0,6;;;;;;;;;;;;;
N. Hayes;AP;2;0;5,5;1,5;0;0;1;0,33;0,00;1,00;0;0;0;1,5;0;0;35;47;108,1;109,6;LAL;23;200,66;0,5;1,5;0,5;0,5;;;;;;;;;;;;;
D. Williams;AL/AP;2;0;4,5;1;0,5;0;0;0,25;0,00;0,00;0;0;0;0;0;0,5;35;47;108,1;109,6;LAL;27;203,2;0,5;2;0;0;;;;;;;;;;;;;
V. Blue;ES;5;0;9;0,6;0,2;0;0,6;0,20;0,00;0,50;0,2;0,6;0,4;0;0;0,2;35;47;108,1;109,6;LAL;26;193;0,2;1;0,2;0,4;;;;;;;;;;;;;
M. Brooks;ES;7;1;27,6;20,1;3,1;0,4;3,6;0,50;0,59;0,87;1,6;2,3;0,9;18,9;1,3;1,9;22;60;99,3;105,5;MEM;29;195,58;4,1;9,4;1,5;2;;;;;;;;;;;;;
T. Evans;ES/AL;52;32;30,9;19,4;5,1;0,3;5,2;0,45;0,40;0,79;1,1;2,3;1,8;19,5;0,8;4,3;22;60;99,3;105,5;MEM;28;198,12;7;15,6;3,2;4;;;;;;;;;;;;;
M. Gasol;P;73;73;33;17,2;8,1;1,4;4,2;0,42;0,34;0,83;0,7;2,7;2,5;20;1,1;7;22;60;99,3;105,5;MEM;33;215,9;5,9;14,2;3,8;4,6;;;;;;;;;;;;;
M. Conley;B;12;12;31,1;17,1;2,3;0,3;4,1;0,38;0,31;0,80;1;1,5;2;13,4;0;2,3;22;60;99,3;105,5;MEM;30;185,42;5,3;14;4,4;5,5;;;;;;;;;;;;;
D. Brooks;ES/AL;82;74;28,7;11;3,1;0,2;1,6;0,44;0,36;0,75;0,9;1,5;2,8;9,5;0,6;2,5;22;60;99,3;105,5;MEM;22;198;7,3;14,6;2,9;3,3;;;;;;;;;;;;;
J. Green;P/AP;55;54;28;10,3;8,4;0,5;1,4;0,46;0,34;0,72;0,6;1,4;2,8;14,5;2,7;5,8;22;60;99,3;105,5;MEM;28;205,74;4,1;8,9;1,5;2;;;;;;;;;;;;;
A. Harrison;B;56;46;23,7;9,5;2,3;0,5;3,2;0,42;0,33;0,78;0,7;1,4;2,5;9,7;0,4;1,9;22;60;99,3;105,5;MEM;23;198,12;3,2;7,7;2,2;2,8;;;;;;;;;;;;;
W. Selden;ES/AL;35;9;19,7;9,3;1,6;0,1;1,9;0,43;0,40;0,75;0,5;1,5;1,7;7,1;0,5;1,1;22;60;99,3;105,5;MEM;23;195,58;3,3;7,7;1,3;1,7;;;;;;;;;;;;;
C. Parsons;AP;36;8;19,2;7,9;2,5;0,3;1,9;0,46;0,42;0,63;0,5;1;1,5;8,4;0,4;2,1;22;60;99,3;105,5;MEM;29;208,28;3;6,5;0,5;0,8;;;;;;;;;;;;;
J. Martin;P/AP;73;36;22,7;7,7;4,4;0,7;1;0,45;0,35;0,77;0,5;1,2;2,9;9;1,3;3;22;60;99,3;105,5;MEM;24;208,28;3;6,8;1,2;1,6;;;;;;;;;;;;;
M. Chalmers;B;66;10;21,5;7,7;2,4;0,2;3;0,38;0,28;0,86;1,2;1,8;2,7;8,2;0,2;2,2;22;60;99,3;105,5;MEM;32;187,96;2,5;6,7;1,8;2,1;;;;;;;;;;;;;
B. McLemore;ES/AL;56;17;19,5;7,5;2,5;0,3;0,9;0,42;0,35;0,83;0,7;1,1;2,5;6,7;0,6;1,9;22;60;99,3;105,5;MEM;25;195,58;2,8;6,7;0,9;1,1;;;;;;;;;;;;;
J. Ennis;AL/AP;45;14;23,4;6,9;3,5;0,3;1,1;0,49;0,36;0,88;0,7;0,8;1,8;8,8;1,2;2,3;22;60;99,3;105,5;MEM;28;198;2,4;4,9;1,4;1,6;;;;;;;;;;;;;
K. Simmons;ES;32;12;20,1;6,1;1,6;0,2;2,1;0,42;0,28;1,00;0,6;1,4;1,9;5,8;0,4;1,1;22;60;99,3;105,5;MEM;20;193,04;2,5;5,9;0,8;0,8;;;;;;;;;;;;;
D. Davis;P/AP;62;6;15,2;5,8;4;0,6;0,6;0,61;0,00;0,67;0,2;0,5;2;8,9;1,2;2,8;22;60;99,3;105,5;MEM;21;210,82;2,6;4,3;0,6;0,9;;;;;;;;;;;;;
X. Rathan-Mayes;B/ES;5;0;23,6;5,8;1;0,6;3,6;0,29;0,07;0,44;1,2;2,2;3,6;3;0;1;22;60;99,3;105,5;MEM;24;193,04;2,4;8,4;0,8;1,8;;;;;;;;;;;;;
I. Rabb;P/AP;36;5;14,3;5,6;4,4;0,4;0,9;0,57;0,00;0,81;0,3;1;1,5;8,6;1,5;2,9;22;60;99,3;105,5;MEM;21;208,28;2,4;4,2;0,8;1;;;;;;;;;;;;;
O. Johnson;P/AP;4;0;18,8;5,5;2,8;0;1,8;0,43;0,33;0,00;0,5;0,8;1,5;6,8;1;1,8;22;60;99,3;105,5;MEM;29;205,74;2,3;5,3;0;0;;;;;;;;;;;;;
M. Henry;AL;20;0;18,9;5,4;1,9;0,3;1,1;0,38;0,33;0,60;1,6;1;1,4;5,7;0,5;1,4;22;60;99,3;105,5;MEM;25;198,12;2,1;5,5;0,3;0,5;;;;;;;;;;;;;
B. Wright;P/AP;27;1;13,6;5;3,4;0,9;0,5;0,58;0,00;0,64;0,5;0,3;1,1;8;1,2;2,3;22;60;99,3;105,5;MEM;30;208,28;2,1;3,7;0,8;1,2;;;;;;;;;;;;;
B. Weber;B;5;0;23,8;4,8;3,4;0,4;1,8;0,48;0,00;0,67;1,6;1,6;2;7,8;1;2,4;22;60;99,3;105,5;MEM;25;187,96;2;4,2;0,8;1,2;;;;;;;;;;;;;
M. Teague;B;3;0;24,7;3,7;2;0;4,3;0,25;0,25;0,40;1,3;1;1,7;5,3;0,3;1,7;22;60;99,3;105,5;MEM;25;187,96;1,3;5,3;0,7;1,7;;;;;;;;;;;;;
B. Johnson;AP;9;0;6,7;3;2;0,4;0,1;0,42;0,00;0,33;0,3;0,1;0,7;3,6;0,8;1,2;22;60;99,3;105,5;MEM;24;208,28;1,4;3,4;0,1;0,3;;;;;;;;;;;;;
V. Hunter;AL;4;0;1,8;1,5;0,8;0,3;0;0,60;0,00;0,00;0;0,3;0;1,8;0,5;0,3;22;60;99,3;105,5;MEM;23;203,2;0,8;1,3;0;0;;;;;;;;;;;;;
