JUGADOR;POS;PJ;PI;MIN;PTS;RB;TP;AS;TC;T3;TL;BR;BP;FP;EF;OR;DR;v;Derrota;PF;PC;Equipo;Edad;Altura;FGM;FGA;FTM;FTA;;;;;;;;;;;;;
G. Dragic;B;75;75;31,7;17,3;4,1;0,2;4,8;0,45;0,37;0,80;0,8;2,2;2,4;16,3;0,7;3,4;44;38;103,4;102,9;MIA;32;190,5;6,5;14,3;2,9;3,6;;;;;;;;;;;;;
D. Waiters;B/ES;30;30;30,6;14,3;2,6;0,3;3,8;0,40;0,31;0,74;0,8;2,3;2;10,5;0,3;2,3;44;38;103,4;102,9;MIA;26;193,04;5,4;13,7;1,7;2,3;;;;;;;;;;;;;
H. Whiteside;P;54;54;25,3;14;11,4;1,7;1;0,54;1,00;0,70;0,7;1,7;2,4;21,2;3,2;8,2;44;38;103,4;102,9;MIA;29;213,36;5,8;10,7;2,4;3,4;;;;;;;;;;;;;
J. Richardson;ES/AL;81;81;33,2;12,9;3,5;0,9;2,9;0,45;0,38;0,85;1,5;1,7;2,5;13,7;0,9;2,7;44;38;103,4;102,9;MIA;24;198,12;4,9;10,9;1,5;1,8;;;;;;;;;;;;;
D. Wade;ES;21;0;22,2;12;3,4;0,7;3,1;0,41;0,22;0,75;0,9;2,3;1,9;10,2;0,5;2,9;44;38;103,4;102,9;MIA;36;193,04;4,8;11,8;2;2,6;;;;;;;;;;;;;
T. Johnson;B/ES;72;39;28,5;11,7;3,4;0,5;2,3;0,44;0,37;0,82;0,8;1,1;2,1;11,7;0,5;3;44;38;103,4;102,9;MIA;26;193,04;4,3;9,9;1,5;1,8;;;;;;;;;;;;;
K. Olynyk;P/AP;76;22;23,4;11,5;5,7;0,5;2,7;0,50;0,38;0,77;0,8;1,9;2,9;14,5;1,2;4,5;44;38;103,4;102,9;MIA;27;213,36;4,2;8,4;1,8;2,3;;;;;;;;;;;;;
W. Ellington;ES;77;2;26,5;11,2;2,8;0,1;1;0,41;0,39;0,86;0,7;0,7;1,2;9,7;0,3;2,5;44;38;103,4;102,9;MIA;30;195,58;3,7;9,1;0,9;1;;;;;;;;;;;;;
J. Johnson;P/AP;73;41;26,6;10,8;4,9;0,7;3,8;0,50;0,31;0,70;1;1,9;2,6;14,4;0,8;4,1;44;38;103,4;102,9;MIA;31;203,2;4,2;8,4;1,5;2,2;;;;;;;;;;;;;
J. Winslow;AL/AP;68;25;24,7;7,8;5,4;0,5;2,2;0,42;0,38;0,64;0,8;1,1;2,1;10,9;0,9;4,5;44;38;103,4;102,9;MIA;22;200,66;3;7,2;1;1,5;;;;;;;;;;;;;
B. Adebayo;P;69;19;19,8;6,9;5,5;0,6;1,5;0,51;0,00;0,72;0,5;1;2;10,9;1,7;3,8;44;38;103,4;102,9;MIA;20;208,28;2,5;4,9;1,9;2,6;;;;;;;;;;;;;
R. McGruder;ES/AL;18;2;16,6;5,1;1,8;0,2;0,9;0,49;0,43;0,50;0,4;0,2;1,2;5,9;0,6;1,2;44;38;103,4;102,9;MIA;26;193,04;2;4,1;0,2;0,4;;;;;;;;;;;;;
J. Mickey;P/AP;23;3;12,3;4;3,5;0,4;0,4;0,48;0,13;0,68;0,3;0,8;1,6;5,7;0,8;2,7;44;38;103,4;102,9;MIA;23;203,2;1,7;3,6;0,6;0,8;;;;;;;;;;;;;
D. Jones Jr.;AP;14;8;15,1;3,7;2,4;0,6;0,4;0,39;0,19;0,61;0,2;0,4;1,6;4,4;1,4;1,1;44;38;103,4;102,9;MIA;21;200,66;1,4;3,5;0,8;1,3;;;;;;;;;;;;;
O. White;AL/AP;6;4;13,3;3,3;1,8;0,2;0,3;0,44;0,36;0,67;0,2;0,2;1;4;0,5;1,3;44;38;103,4;102,9;MIA;26;203;1,2;2,7;0,3;0,5;;;;;;;;;;;;;
L. Babbitt;AL/AP;13;5;11,2;2,5;1,2;0,2;0,4;0,23;0,24;0,00;0,1;0,3;0,5;1,2;0,2;1;44;38;103,4;102,9;MIA;23;185,42;0,8;3,6;0;0;;;;;;;;;;;;;
D. Walton;B;16;0;9,2;1,8;1;0,2;1;0,32;0,41;1,00;0,4;0,1;0,4;3,3;0,1;0,9;44;38;103,4;102,9;MIA;23;185,42;0,5;1,6;0,4;0,4;;;;;;;;;;;;;
M. Williams;ES;3;0;3,7;1,7;0,3;0;0;0,33;0,20;0,00;0;0,3;0,3;0,3;0;0,3;44;38;103,4;102,9;MIA;24;195,58;0,7;2;0;0;;;;;;;;;;;;;
U. Haslem;P;14;0;5,1;0,6;0,7;0,1;0,4;0,20;0,13;0,50;0;0,1;0,2;0,7;0,2;0,5;44;38;103,4;102,9;MIA;38;203,2;0,2;1,1;0,1;0,1;;;;;;;;;;;;;
G. Antetokoun.;AP;75;75;36,7;26,9;10;1,4;4,8;0,53;0,31;0,76;1,5;3;3,1;30,7;2,1;8;44;38;106,5;106,8;MIL;23;210,82;9,9;18,7;6,5;8,5;;;;;;;;;;;;;
K. Middleton;ES/AL;82;82;36,4;20,1;5,2;0,3;4;0,47;0,36;0,88;1,5;2,3;3,3;20;0,5;4,7;44;38;106,5;106,8;MIL;26;203,2;7,2;15,5;3,9;4,4;;;;;;;;;;;;;
E. Bledsoe;B/ES;71;71;31,5;17,8;3,9;0,6;5,1;0,48;0,35;0,80;2;2,9;2,5;18,6;0,7;3,2;44;38;106,5;106,8;MIL;28;185,42;6,4;13,4;3,4;4,3;;;;;;;;;;;;;
M. Brogdon;B/ES;48;20;29,9;13;3,3;0,3;3,2;0,49;0,39;0,88;0,9;1,4;2,7;13,6;0,5;2,8;44;38;106,5;106,8;MIL;25;195,58;5,1;10,5;1,6;1,8;;;;;;;;;;;;;
J. Parker;AP;31;3;24;12,6;4,9;0,3;1,9;0,48;0,38;0,74;0,8;1,5;1,6;13,1;1,4;3,5;44;38;106,5;106,8;MIL;23;203,2;5,2;10,7;1,3;1,7;;;;;;;;;;;;;
J. Henson;P/AP;76;69;25,9;8,8;6,8;1,4;1,5;0,57;0,14;0,57;0,6;1,1;2,7;14,2;2;4,8;44;38;106,5;106,8;MIL;27;210,82;3,8;6,6;1,2;2,1;;;;;;;;;;;;;
S. Muhammad;ES/AL;11;0;10,6;8,5;2,8;0,1;0,6;0,55;0,38;0,90;0,4;0,1;0,6;9,5;0,7;2,1;44;38;106,5;106,8;MIL;25;198,12;3,4;6,1;1,5;1,7;;;;;;;;;;;;;
M. Teletovic;AP;10;0;15,9;7,1;2,3;0,1;1;0,44;0,47;0,00;0,4;0,7;1,4;7;0,3;2;44;38;106,5;106,8;MIL;32;205,74;2,5;5,7;0;0;;;;;;;;;;;;;
T. Snell;ES/AL;75;59;27,4;6,9;1,9;0,4;1,3;0,44;0,40;0,79;0,6;0,5;1,5;7,3;0,1;1,8;44;38;106,5;106,8;MIL;26;200,66;2,5;5,7;0,5;0,6;;;;;;;;;;;;;
G. Monroe;P;5;0;15,8;6,8;5;0;1;0,49;0,00;0,50;0;1,2;1,4;7,8;1,2;3,8;44;38;106,5;106,8;MIL;28;210,82;3,2;6,6;0,4;0,8;;;;;;;;;;;;;
T. Zeller;P;24;1;16,9;5,9;4,6;0,6;0,8;0,59;0,00;0,90;0,3;0,5;2;9,8;2;2,7;44;38;106,5;106,8;MIL;28;213,36;2,6;4,4;0,7;0,8;;;;;;;;;;;;;
B. Jennings;B;14;0;14,6;5,2;2,2;0,3;3,1;0,38;0,27;1,00;0,4;1,3;0,8;6,8;0,4;1,9;44;38;106,5;106,8;MIL;28;185,42;1,9;5,1;0,7;0,7;;;;;;;;;;;;;
T. Maker;P;74;12;16,7;4,8;3;0,7;0,6;0,41;0,30;0,70;0,5;0,6;2,2;6,2;1;2;44;38;106,5;106,8;MIL;21;215,9;1,8;4,3;0,9;1,3;;;;;;;;;;;;;
M. Dellavedova;B;38;3;18,8;4,3;1,7;0;3,8;0,36;0,37;0,93;0,4;1,3;1,8;6,3;0,4;1,3;44;38;106,5;106,8;MIL;27;193,04;1,4;4;0,7;0,7;;;;;;;;;;;;;
S. Brown;ES/AL;54;4;14,4;4;2,6;0,2;0,5;0,40;0,35;0,88;0,6;0,5;1,5;5,1;0,5;2,1;44;38;106,5;106,8;MIL;23;198,12;1,5;3,8;0,4;0,4;;;;;;;;;;;;;
S. Kilpatrick;ES/AL;23;0;8,9;4;1,1;0;0,7;0,38;0,28;0,95;0,2;0,4;0,7;3,4;0;1;44;38;106,5;106,8;MIL;28;193,04;1,3;3,6;0,8;0,8;;;;;;;;;;;;;
J. Terry;B/ES;51;4;16;3,3;0,9;0,3;1,2;0,38;0,35;0,89;0,8;0,5;1;4,1;0,1;0,8;44;38;106,5;106,8;MIL;40;187,96;1,2;3;0,2;0,2;;;;;;;;;;;;;
R. Vaughn;ES;22;0;7,9;2,7;0,8;0,1;0,5;0,42;0,37;0,67;0,2;0,2;0,5;2,7;0,1;0,7;44;38;106,5;106,8;MIL;21;198,12;1;2,3;0,2;0,3;;;;;;;;;;;;;
G. Payton II;ES/AL;12;6;8,8;2,5;1,4;0,1;0,8;0,39;0,17;0,67;0,3;0,3;1,4;3;0,3;1,1;44;38;106,5;106,8;MIL;25;190,5;1,1;2,8;0,2;0,3;;;;;;;;;;;;;
D. Liggins;ES/AL;31;1;15,5;1,8;1,6;0,3;0,9;0,34;0,31;0,40;0,9;0,4;2;3,6;0,2;1,4;44;38;106,5;106,8;MIL;27;200,66;0,7;2,1;0,1;0,2;;;;;;;;;;;;;
M. Plumlee;P;8;0;6,5;1,8;2,1;0,1;0,3;0,33;0,00;0,75;0;0,4;1,3;3,1;0,5;1,6;44;38;106,5;106,8;MIL;25;213,36;0,1;0,4;1,5;2;;;;;;;;;;;;;
J. Bolomboy;P/AP;6;0;6,3;1,5;1,7;0;0;0,50;0,00;0,50;0,3;0,3;0,5;2,2;1;0,7;44;38;106,5;106,8;MIL;24;205,74;0,5;1;0,5;1;;;;;;;;;;;;;
D. Wilson;P/AP;22;0;3,2;1;0,5;0;0,1;0,56;0,40;0,50;0,1;0,2;0,3;1,2;0,1;0,4;44;38;106,5;106,8;MIL;22;208,28;0,4;0,7;0;0,1;;;;;;;;;;;;;
X. Munford;B;6;0;3,5;0,5;0,2;0;0,7;0,17;0,00;0,50;0,2;0,3;0,7;0,2;0,2;0;44;38;106,5;106,8;MIL;26;193,04;0,2;1;0,2;0,3;;;;;;;;;;;;;
J. Butler;AL/AP;59;59;36,7;22,2;5,3;0,4;4,9;0,47;0,35;0,85;2;1,8;1,3;23,6;1,3;4;47;35;109,5;107,3;MIN;28;203,2;7,4;15,6;6,2;7,2;;;;;;;;;;;;;
K. Towns;P/AP;82;82;35,6;21,3;12,3;1,4;2,4;0,55;0,42;0,86;0,8;1,9;3,5;29,1;2,9;9,4;47;35;109,5;107,3;MIN;23;213;7,8;14,3;4,2;4,9;;;;;;;;;;;;;
A. Wiggins;AL/AP;82;82;36,3;17,7;4,4;0,6;2;0,44;0,33;0,64;1,1;1,7;2;13,8;1;3,4;47;35;109,5;107,3;MIN;28;210,82;6,9;15,9;2,5;3,8;;;;;;;;;;;;;
J. Teague;B;70;70;33;14,2;3;0,3;7;0,45;0,37;0,85;1,5;2,5;2,4;16,7;0,3;2,6;47;35;109,5;107,3;MIN;30;187,96;5,1;11,3;2,9;3,4;;;;;;;;;;;;;
T. Gibson;P;82;82;33,2;12,2;7,1;0,7;1,2;0,58;0,20;0,77;0,8;1,1;2,7;16,6;2,4;4,8;47;35;109,5;107,3;MIN;33;205,74;5,2;9;1,7;2,3;;;;;;;;;;;;;
J. Crawford;ES;80;0;20,7;10,3;1,2;0,1;2,3;0,42;0,33;0,90;0,5;1,2;1,1;7,7;0,3;1;47;35;109,5;107,3;MIN;38;195,58;3,9;9,3;1,3;1,4;;;;;;;;;;;;;
N. Bjelica;AP;67;21;20,5;6,8;4,1;0,2;1,3;0,46;0,42;0,80;0,7;0,8;2,1;9,2;0,8;3,3;47;35;109,5;107,3;MIN;30;208,28;2,6;5,5;0,5;0,7;;;;;;;;;;;;;
G. Dieng;P;79;0;16,9;5,9;4,6;0,5;0,9;0,48;0,31;0,78;0,6;0,7;1,9;8,9;1,3;3,2;47;35;109,5;107,3;MIN;28;210,82;2,4;4,9;1;1,3;;;;;;;;;;;;;
D. Rose;B/ES;9;0;12,4;5,8;0,7;0;1,2;0,43;0,17;1,00;0,4;0,8;0,2;3,9;0,3;0,3;47;35;109,5;107,3;MIN;29;190,5;2,6;6;0,6;0,6;;;;;;;;;;;;;
T. Jones;B;82;11;17,9;5,1;1,6;0,1;2,8;0,46;0,35;0,88;1,2;0,7;1,3;7,7;0,2;1,4;47;35;109,5;107,3;MIN;22;187,96;1,8;4;0,9;1;;;;;;;;;;;;;
S. Muhammad;ES/AL;32;2;9,4;3,8;1,4;0,1;0,2;0,39;0,21;0,71;0,2;0,2;0,7;2,8;0,5;0,9;47;35;109,5;107,3;MIN;25;198,12;1,5;3,8;0,7;1;;;;;;;;;;;;;
A. Brown;AL;1;0;4;3;0;0;1;1,00;1,00;0,00;0;0;0;4;0;0;47;35;109,5;107,3;MIN;25;200,66;1;1;0;0;;;;;;;;;;;;;
A. Brooks;B;32;1;5,9;2,3;0,5;0;0,6;0,41;0,36;0,73;0,2;0,3;0,9;2;0,2;0,3;47;35;109,5;107,3;MIN;33;182,88;0,9;2,2;0,3;0,3;;;;;;;;;;;;;
J. Patton;P;1;0;4;2;0;0;0;0,50;0,00;0,00;1;0;1;2;0;0;47;35;109,5;107,3;MIN;21;213,36;1;2;0;0;;;;;;;;;;;;;
M. Georges-Hunt;ES/AL;42;0;5,3;1,4;0,4;0;0,2;0,44;0,27;0,62;0,1;0,1;0,8;1,2;0,2;0,2;47;35;109,5;107,3;MIN;24;195,58;0,5;1,1;0,3;0,5;;;;;;;;;;;;;
C. Aldrich;P;21;0;2,3;0,6;0,7;0;0,1;0,33;0,00;0,33;0,1;0;0,5;0,9;0,1;0,6;47;35;109,5;107,3;MIN;29;210,82;0,2;0,7;0,1;0,3;;;;;;;;;;;;;
A. Davis;P;75;75;36,4;28,1;11,1;2,6;2,3;0,53;0,34;0,83;1,5;2,2;2,1;33;2,5;8,6;48;34;111,7;110,4;NOP;25;208,28;10,4;19,5;6,6;8;;;;;;;;;;;;;
D. Cousins;P;48;48;36,2;25,2;12,9;1,6;5,4;0,47;0,35;0,75;1,6;5;3,8;30;2,2;10,7;48;34;111,7;110,4;NOP;27;210,82;8,5;18;6,1;8,2;;;;;;;;;;;;;
J. Holiday;B/ES;81;81;36,1;19;4,5;0,8;6;0,49;0,34;0,79;1,5;2,6;2,5;20,8;0,8;3,7;48;34;111,7;110,4;NOP;28;193,04;7,6;15,4;2,3;2,9;;;;;;;;;;;;;
N. Mirotic;AP;30;11;29,1;14,6;8,2;0,9;1,4;0,43;0,34;0,81;1;1;2,1;17,3;1,4;6,8;48;34;111,7;110,4;NOP;27;208,28;5,4;12,7;1,6;1,9;;;;;;;;;;;;;
E. Moore;ES/AL;82;80;31,5;12,5;2,9;0,1;2,3;0,51;0,43;0,71;1;1,2;2,2;12,3;0,7;2,2;48;34;111,7;110,4;NOP;29;193,04;5,2;10,1;0,6;0,8;;;;;;;;;;;;;
R. Rondo;B;65;63;26,2;8,3;4;0,2;8,2;0,47;0,33;0,54;1,1;2,3;1,8;15;0,5;3,6;48;34;111,7;110,4;NOP;32;185,42;3,6;7,6;0,4;0,7;;;;;;;;;;;;;
D. Miller;AL;82;3;23,7;7,8;2;0,2;1,4;0,44;0,41;0,87;0,3;0,7;2;7,5;0,2;1,8;48;34;111,7;110,4;NOP;28;203,2;2,6;5,9;0,7;0,8;;;;;;;;;;;;;
I. Clark;B/ES;74;2;19,6;7,4;1,7;0,1;1,5;0,45;0,32;0,76;0,4;0,8;1,6;6,6;0,1;1,6;48;34;111,7;110,4;NOP;27;190,5;3;6,7;0,6;0,8;;;;;;;;;;;;;
J. Crawford;B/ES;5;0;10,6;6,6;0,8;0,2;2,6;0,44;0,57;1,00;0,2;1;1,4;6,4;0,4;0,4;48;34;111,7;110,4;NOP;29;195,58;2,4;5,4;0,2;0,2;;;;;;;;;;;;;
J. Nelson;B;43;0;20,9;5,1;2,2;0,1;3,6;0,41;0,36;0,77;0,5;1,3;1,6;7,4;0,3;2;48;34;111,7;110,4;NOP;36;182,88;2;4,8;0,3;0,4;;;;;;;;;;;;;
D. Cunningham;AL/AP;51;24;21,9;5;3,8;0,3;0,5;0,44;0,32;0,56;0,5;0,3;1,5;7;1;2,8;48;34;111,7;110,4;NOP;31;203,2;1,9;4,4;0,4;0,7;;;;;;;;;;;;;
C. Diallo;P/AP;52;0;11,2;4,9;4,1;0,4;0,4;0,58;0,00;0,76;0,2;0,5;1,6;7,7;0,9;3,2;48;34;111,7;110,4;NOP;21;205,74;2;3,4;1;1,3;;;;;;;;;;;;;
T. Allen;ES/AL;22;0;12,4;4,7;2,1;0,1;0,4;0,48;0,33;0,52;0,5;0,9;2,2;4,4;0,9;1,2;48;34;111,7;110,4;NOP;36;193,04;2;4,1;0,5;1;;;;;;;;;;;;;
E. Okafor;P;26;19;13,6;4,4;4,6;1;0,3;0,51;0,00;0,82;0,3;0,5;1,2;8,1;1,8;2,8;48;34;111,7;110,4;NOP;32;185,42;1,8;3,7;0,7;0,8;;;;;;;;;;;;;
W. Lemon Jr.;B;5;0;7;3,4;0,4;0,2;1;0,44;1,00;0,67;0;0,8;1;2,2;0;0,4;48;34;111,7;110,4;NOP;25;190,5;1,4;3,2;0,4;0,6;;;;;;;;;;;;;
S. Hill;AL/AP;12;1;15,6;2,4;3;0,1;1,8;0,27;0,19;0,50;0,6;0,8;1,8;4,4;0,8;2,3;48;34;111,7;110,4;NOP;27;200,66;0,9;3,4;0,3;0,5;;;;;;;;;;;;;
L. Drew II;B;7;0;7,9;2,1;0,3;0;1,1;0,35;0,50;0,00;0;0,3;0,6;1,7;0,3;0;48;34;111,7;110,4;NOP;28;187,96;0,9;2,4;0;0;;;;;;;;;;;;;
D. Liggins;ES/AL;27;3;9;1,6;1;0,1;0,8;0,44;0,47;0,00;0,4;0,3;0,7;2,8;0,1;0,9;48;34;111,7;110,4;NOP;27;200,66;0,7;1,5;0;0;;;;;;;;;;;;;
O. Asik;P;14;0;8,6;1,3;2,6;0,1;0,1;0,44;0,00;0,33;0,1;0,4;1;2,7;0,5;2,1;48;34;111,7;110,4;NOP;31;213,36;0,5;1,1;0,3;0,9;;;;;;;;;;;;;
J. Jones;AL/AP;4;0;4,8;1,3;0,8;0;0;0,25;1,00;1,00;0;0;0,5;1,3;0;0,8;48;34;111,7;110,4;NOP;23;208,28;0,3;1;0,5;0,5;;;;;;;;;;;;;
M. James;B;4;0;4,5;1;0,3;0;1,5;0,22;0,00;0,00;0,3;0,3;0,8;1;0,3;0;48;34;111,7;110,4;NOP;25;200,66;0,5;2,3;0;0;;;;;;;;;;;;;
J. Smith;AL/AP;3;0;4;0,7;1,3;0;0;0,25;0,00;0,00;0;0;1;1;1;0,3;48;34;111,7;110,4;NOP;32;205,74;0,3;1,3;0;0;;;;;;;;;;;;;
C. Cooke;ES/AL;13;0;2,9;0,5;0,2;0;0,1;0,14;0,13;0,50;0,1;0,1;0;-0,3;0;0,2;48;34;111,7;110,4;NOP;23;195,58;0,2;1,1;0,1;0,2;;;;;;;;;;;;;
K. Porzingis;P/AP;48;48;32,4;22,7;6,6;2,4;1,2;0,44;0,40;0,79;0,8;1,9;2,9;20,1;1,3;5,3;29;53;104,5;108;NYK;22;220,98;8,1;18,5;4,5;5,7;;;;;;;;;;;;;
T. Hardaway Jr.;ES/AL;57;54;33,1;17,5;3,9;0,2;2,7;0,42;0,32;0,82;1,1;1,6;2,2;14,5;0,6;3,4;29;53;104,5;108;NYK;26;198,12;6,3;15;2,6;3,1;;;;;;;;;;;;;
E. Freedom;P;71;71;25,8;14,1;11;0,5;1,5;0,59;0,00;0,85;0,5;1,7;2,6;21,4;3,8;7,1;29;53;104,5;108;NYK;26;210,82;5,9;10;2,2;2,6;;;;;;;;;;;;;
M. Beasley;AP;74;30;22,3;13,2;5,6;0,6;1,7;0,51;0,40;0,78;0,5;1,9;2;13,7;1,3;4,3;29;53;104,5;108;NYK;29;205,74;5,5;10,9;1,7;2,1;;;;;;;;;;;;;
T. Burke;B;36;9;21,8;12,8;2;0,1;4,7;0,50;0,36;0,65;0,7;1,2;1,2;13,2;0,4;1,6;29;53;104,5;108;NYK;25;185,42;5,4;10,7;1;1,6;;;;;;;;;;;;;
C. Lee;ES/AL;76;69;30,4;12;2,9;0,2;2,4;0,45;0,41;0,92;1,1;1,1;1,4;11,9;0,4;2,6;29;53;104,5;108;NYK;32;195,58;4,5;9,9;1,5;1,6;;;;;;;;;;;;;
E. Mudiay;B;22;14;22,4;8,8;2,6;0,3;3,9;0,37;0,20;0,69;0,9;1,9;1,5;8,1;0,5;2,2;29;53;104,5;108;NYK;22;196;3,4;9,3;1,6;2,3;;;;;;;;;;;;;
J. Jack;B;62;56;25;7,5;3,1;0,1;5,6;0,43;0,29;0,84;0,6;1,9;1,6;10,7;1,2;2,2;29;53;104,5;108;NYK;34;190,5;3;7,1;1;1,2;;;;;;;;;;;;;
T. Williams;AL;17;1;17,1;7,5;3,5;0,2;0,9;0,49;0,33;0,70;1,1;1,1;1,9;8,7;0,4;2,7;29;53;104,5;108;NYK;23;200,66;2,9;5,9;1,1;1,6;;;;;;;;;;;;;
D. McDermott;AL;55;1;21,3;7,2;2,4;0,2;0,9;0,46;0,39;0,76;0,2;0,6;1,3;6,9;0,6;1,8;29;53;104,5;108;NYK;26;203,2;2,7;6;0,7;1;;;;;;;;;;;;;
K. O'Quinn;P;77;10;18;7,1;6,1;1,3;2,1;0,58;0,24;0,77;0,5;1,3;2,5;13,3;1,6;4,5;29;53;104,5;108;NYK;28;208,28;2,9;5;1,3;1,6;;;;;;;;;;;;;
L. Kornet;P;20;1;16,3;6,7;3,2;0,8;1,3;0,39;0,35;0,73;0,3;0,6;1,4;7,8;0,6;2,7;29;53;104,5;108;NYK;22;215,9;2,5;6,3;0,4;0,6;;;;;;;;;;;;;
F. Ntilikina;ES;78;9;21,9;5,9;2,3;0,2;3,2;0,36;0,32;0,72;0,8;1,7;2,3;6,5;0,5;1,8;29;53;104,5;108;NYK;19;195,58;2,3;6,4;0,6;0,9;;;;;;;;;;;;;
I. Hicks;AP;18;0;13,3;4,4;2,3;0,2;0,9;0,46;0,22;0,67;0,1;0,9;2,5;4,6;0,6;1,7;29;53;104,5;108;NYK;23;205,74;1,8;4;0,7;1;;;;;;;;;;;;;
W. Hernangóm.;P;26;0;9;4,3;2,6;0,3;0,8;0,61;0,20;0,43;0,3;1;1,2;5,4;0,8;1,7;29;53;104,5;108;NYK;24;210,82;1,9;3,1;0,5;1,1;;;;;;;;;;;;;
L. Thomas;AP;73;31;18,5;4,1;2,4;0,2;0,6;0,38;0,40;0,83;0,4;0,6;1,8;4,7;0,6;1,8;29;53;104,5;108;NYK;30;203,2;1,4;3,7;0,6;0,7;;;;;;;;;;;;;
D. Dotson;B/ES;44;2;10,8;4,1;1,9;0;0,7;0,45;0,32;0,70;0,3;0,4;0,8;4,5;0,2;1,7;29;53;104,5;108;NYK;24;195,58;1,6;3,7;0,4;0,5;;;;;;;;;;;;;
R. Sessions;B;13;3;12,8;3,7;1,4;0,1;2,1;0,32;0,18;0,80;0,5;1,2;1,1;3,6;0,1;1,3;29;53;104,5;108;NYK;32;190,5;1,3;4,1;0,9;1,2;;;;;;;;;;;;;
R. Baker;ES;29;1;13,3;2,4;1;0,2;1,6;0,34;0,33;0,77;0,9;0,6;1,1;4;0,2;0,9;29;53;104,5;108;NYK;25;193,04;0,7;2;0,7;0,9;;;;;;;;;;;;;
J. Noah;P;7;0;5,7;1,7;2;0,3;0,6;0,50;0,00;0,50;0,3;0,6;0,7;3,3;0,9;1,1;29;53;104,5;108;NYK;33;210,82;0,7;1,4;0,3;0,6;;;;;;;;;;;;;
M. Kuzminskas;AL;1;0;2;0;0;0;0;0,00;0,00;0,00;0;0;0;-2;0;0;29;53;104,5;108;NYK;28;205,74;0;2;0;0;;;;;;;;;;;;;
R. Westbrook;B;80;80;36,4;25,4;10,1;0,3;10,3;0,45;0,30;0,74;1,8;4,8;2,5;29,5;1,9;8,2;48;34;107,9;104,4;OKC;30;193;9,5;21,1;5,2;7,1;;;;;;;;;;;;;
P. George;ES/AL;79;79;36,6;21,9;5,7;0,5;3,3;0,43;0,40;0,82;2;2,7;2,9;20,2;0,9;4,7;48;34;107,9;104,4;OKC;28;205,74;7,3;17;4,3;5,2;;;;;;;;;;;;;
